﻿﻿﻿﻿﻿﻿﻿0	
treeID	,treeSize	
0	,15
1	,15
2	,13
3	,15
4	,15
5	,13
6	,15
7	,9
8	,15
9	,15
10	,15
11	,9
12	,15
13	,15
14	,15
15	,15
16	,13
17	,15
18	,15
19	,13
20	,11
21	,9
22	,13
23	,15
24	,13
25	,15
26	,13
27	,15
28	,15
29	,13
30	,15
31	,15
32	,9
33	,15
34	,15
35	,15
36	,15
37	,15
38	,13
39	,13
40	,15
41	,15
42	,15
43	,13
44	,15
45	,15
46	,13
47	,15
48	,15
49	,15

1	
treeID	,treeSize	
0	,15
1	,15
2	,15
3	,15
4	,13
5	,15
6	,15
7	,15
8	,15
9	,15
10	,15
11	,15
12	,15
13	,15
14	,15
15	,13
16	,15
17	,15
18	,15
19	,15
20	,15
21	,15
22	,13
23	,15
24	,15
25	,15
26	,15
27	,13
28	,15
29	,15
30	,15
31	,15
32	,15
33	,15
34	,15
35	,15
36	,15
37	,15
38	,15
39	,15
40	,15
41	,15
42	,15
43	,15
44	,15
45	,15
46	,15
47	,15
48	,15
49	,15

2	
treeID	,treeSize	
0	,15
1	,15
2	,15
3	,13
4	,15
5	,15
6	,15
7	,15
8	,15
9	,13
10	,13
11	,15
12	,15
13	,15
14	,15
15	,15
16	,15
17	,7
18	,15
19	,13
20	,15
21	,13
22	,15
23	,9
24	,13
25	,15
26	,15
27	,15
28	,15
29	,15
30	,15
31	,15
32	,15
33	,15
34	,15
35	,15
36	,13
37	,15
38	,15
39	,15
40	,15
41	,15
42	,9
43	,15
44	,15
45	,15
46	,15
47	,15
48	,15
49	,15

3	
treeID	,treeSize	
0	,15
1	,15
2	,15
3	,15
4	,15
5	,15
6	,15
7	,15
8	,15
9	,15
10	,15
11	,15
12	,15
13	,15
14	,13
15	,15
16	,9
17	,15
18	,13
19	,15
20	,15
21	,15
22	,13
23	,15
24	,13
25	,15
26	,15
27	,15
28	,15
29	,15
30	,15
31	,15
32	,13
33	,15
34	,15
35	,15
36	,15
37	,11
38	,15
39	,15
40	,15
41	,11
42	,13
43	,15
44	,13
45	,13
46	,15
47	,15
48	,15
49	,9

4	
treeID	,treeSize	
0	,15
1	,15
2	,15
3	,15
4	,15
5	,15
6	,15
7	,15
8	,15
9	,15
10	,15
11	,13
12	,15
13	,15
14	,15
15	,15
16	,15
17	,15
18	,15
19	,15
20	,15
21	,15
22	,13
23	,15
24	,15
25	,15
26	,15
27	,15
28	,15
29	,15
30	,15
31	,15
32	,15
33	,15
34	,15
35	,15
36	,15
37	,15
38	,15
39	,15
40	,13
41	,15
42	,15
43	,13
44	,15
45	,15
46	,15
47	,15
48	,15
49	,15

5	
treeID	,treeSize	
0	,15
1	,15
2	,15
3	,15
4	,15
5	,15
6	,15
7	,15
8	,15
9	,15
10	,11
11	,9
12	,9
13	,15
14	,15
15	,9
16	,15
17	,13
18	,15
19	,13
20	,15
21	,13
22	,15
23	,11
24	,15
25	,15
26	,13
27	,15
28	,15
29	,15
30	,13
31	,15
32	,15
33	,11
34	,15
35	,9
36	,15
37	,15
38	,9
39	,9
40	,9
41	,9
42	,15
43	,15
44	,15
45	,13
46	,15
47	,9
48	,13
49	,15

6	
treeID	,treeSize	
0	,15
1	,15
2	,13
3	,15
4	,9
5	,15
6	,15
7	,9
8	,15
9	,11
10	,15
11	,13
12	,15
13	,13
14	,13
15	,15
16	,11
17	,11
18	,15
19	,11
20	,13
21	,15
22	,15
23	,13
24	,9
25	,11
26	,15
27	,13
28	,15
29	,15
30	,13
31	,9
32	,13
33	,13
34	,9
35	,15
36	,15
37	,13
38	,15
39	,15
40	,13
41	,15
42	,13
43	,13
44	,13
45	,13
46	,13
47	,11
48	,15
49	,15

7	
treeID	,treeSize	
0	,15
1	,15
2	,15
3	,13
4	,15
5	,13
6	,15
7	,13
8	,15
9	,15
10	,11
11	,15
12	,15
13	,9
14	,13
15	,11
16	,9
17	,13
18	,15
19	,13
20	,13
21	,13
22	,15
23	,9
24	,15
25	,13
26	,9
27	,9
28	,13
29	,9
30	,15
31	,13
32	,15
33	,13
34	,15
35	,11
36	,15
37	,9
38	,15
39	,15
40	,13
41	,11
42	,13
43	,15
44	,15
45	,15
46	,15
47	,9
48	,13
49	,15

